id,key,value/rev,doc/_id,doc/_rev,doc/year,doc/month,doc/day,doc/hour,doc/minute,doc/second,doc/imagebox,doc/alchemy/text,doc/alchemy/score,doc/visual/image,doc/visual/scores/0/classifier_id,doc/visual/scores/0/name,doc/visual/scores/0/score,doc/visual/scores/1/classifier_id,doc/visual/scores/1/name,doc/visual/scores/1/score,doc/visual/scores/2/classifier_id,doc/visual/scores/2/name,doc/visual/scores/2/score,doc/visual/scores/3/classifier_id,doc/visual/scores/3/name,doc/visual/scores/3/score,doc/visual/scores/4/classifier_id,doc/visual/scores/4/name,doc/visual/scores/4/score,doc/visual/scores/5/classifier_id,doc/visual/scores/5/name,doc/visual/scores/5/score,doc/visual/scores/6/classifier_id,doc/visual/scores/6/name,doc/visual/scores/6/score,doc/visual/scores/7/classifier_id,doc/visual/scores/7/name,doc/visual/scores/7/score,doc/visual/scores/8/classifier_id,doc/visual/scores/8/name,doc/visual/scores/8/score,doc/visual/scores/9/classifier_id,doc/visual/scores/9/name,doc/visual/scores/9/score,doc/visual/scores/10/classifier_id,doc/visual/scores/10/name,doc/visual/scores/10/score,doc/visual/scores/11/classifier_id,doc/visual/scores/11/name,doc/visual/scores/11/score,doc/visual/scores/12/classifier_id,doc/visual/scores/12/name,doc/visual/scores/12/score,doc/visual/scores/13/classifier_id,doc/visual/scores/13/name,doc/visual/scores/13/score,doc/visual/scores/14/classifier_id,doc/visual/scores/14/name,doc/visual/scores/14/score,doc/visual/scores/15/classifier_id,doc/visual/scores/15/name,doc/visual/scores/15/score,doc/visual/scores/16/classifier_id,doc/visual/scores/16/name,doc/visual/scores/16/score,doc/visual/scores/17/classifier_id,doc/visual/scores/17/name,doc/visual/scores/17/score,doc/visual/scores/18/classifier_id,doc/visual/scores/18/name,doc/visual/scores/18/score,doc/visual/scores/19/classifier_id,doc/visual/scores/19/name,doc/visual/scores/19/score,doc/visual/scores/20/classifier_id,doc/visual/scores/20/name,doc/visual/scores/20/score,doc/visual/scores/21/classifier_id,doc/visual/scores/21/name,doc/visual/scores/21/score,doc/visual/scores/22/classifier_id,doc/visual/scores/22/name,doc/visual/scores/22/score,doc/visual/scores/23/classifier_id,doc/visual/scores/23/name,doc/visual/scores/23/score,doc/visual/scores/24/classifier_id,doc/visual/scores/24/name,doc/visual/scores/24/score,doc/visual/scores/25/classifier_id,doc/visual/scores/25/name,doc/visual/scores/25/score
20160402200334-01-00,20160402200334-01-00,1-3ed2d83d8a10852df3c82c6d2ee0363b,20160402200334-01-00,1-3ed2d83d8a10852df3c82c6d2ee0363b,2016,4,2,20,3,34,5801-01-01,NO_TAGS,,20160402200334-01-00.jpg,Black,Black,0.957878,Night_Sky,Night_Sky,0.954568,Piano,Piano,0.860401,Musical_Instrument,Musical_Instrument,0.844753,Hang_Gliding,Hang_Gliding,0.838899,Refrigerator,Refrigerator,0.785393,Lamp,Lamp,0.742319,Gray,Gray,0.667717,Cliff_Diving,Cliff_Diving,0.636123,Home_Theater,Home_Theater,0.563272,Gazebo,Gazebo,0.544721,Bowling_Alley,Bowling_Alley,0.542824,Prison,Prison,0.540594,Flood,Flood,0.501648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160402200942-02-01,20160402200942-02-01,1-6f4ec31d2b10028b8e0c09257f72dc46,20160402200942-02-01,1-6f4ec31d2b10028b8e0c09257f72dc46,2016,4,2,20,9,42,6401-01-01,NO_TAGS,,20160402200942-02-01.jpg,Night_Sky,Night_Sky,0.971937,Black,Black,0.962122,Piano,Piano,0.900472,Musical_Instrument,Musical_Instrument,0.840831,Hang_Gliding,Hang_Gliding,0.826144,Refrigerator,Refrigerator,0.798736,Guitar,Guitar,0.769374,Control_Room,Control_Room,0.667466,Prison,Prison,0.630036,Cliff_Diving,Cliff_Diving,0.593081,Gray,Gray,0.591867,Apartment_Building,Apartment_Building,0.590139,Bowling_Alley,Bowling_Alley,0.579161,Camping,Camping,0.549253,Sedan,Sedan,0.514813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160402202002-03-00,20160402202002-03-00,1-8fadc32e7b49b6e22167659f8e41cc75,20160402202002-03-00,1-8fadc32e7b49b6e22167659f8e41cc75,2016,4,2,20,20,2,6201-01-01,NO_TAGS,,20160402202002-03-00.jpg,Night_Sky,Night_Sky,0.972693,Black,Black,0.958741,Piano,Piano,0.876141,Musical_Instrument,Musical_Instrument,0.822655,Gazebo,Gazebo,0.821647,Refrigerator,Refrigerator,0.815357,Hang_Gliding,Hang_Gliding,0.793985,Lamp,Lamp,0.722099,Cliff_Diving,Cliff_Diving,0.637503,Bowling_Alley,Bowling_Alley,0.617247,Gray,Gray,0.614575,Prison,Prison,0.533387,Ice_Skating,Ice_Skating,0.520833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160402202056-04-01,20160402202056-04-01,1-768d61502b5ea41f00baabe718db3830,20160402202056-04-01,1-768d61502b5ea41f00baabe718db3830,2016,4,2,20,20,56,6401-01-01,NO_TAGS,,20160402202056-04-01.jpg,Night_Sky,Night_Sky,0.960483,Black,Black,0.959251,Piano,Piano,0.859816,Musical_Instrument,Musical_Instrument,0.833912,Hang_Gliding,Hang_Gliding,0.828202,Refrigerator,Refrigerator,0.808614,Gazebo,Gazebo,0.771617,Military_Plane,Military_Plane,0.737733,Bowling_Alley,Bowling_Alley,0.692234,Home_Theater,Home_Theater,0.649173,Prison,Prison,0.641364,Gray,Gray,0.629954,Cliff_Diving,Cliff_Diving,0.52804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160402202116-05-01,20160402202116-05-01,1-46f77403a33355fdc4a5e4c8a718c69b,20160402202116-05-01,1-46f77403a33355fdc4a5e4c8a718c69b,2016,4,2,20,21,16,5201-01-01,NO_TAGS,,20160402202116-05-01.jpg,Night_Sky,Night_Sky,0.965346,Black,Black,0.948608,Military_Plane,Military_Plane,0.894289,Refrigerator,Refrigerator,0.889308,Hang_Gliding,Hang_Gliding,0.879814,Lamp,Lamp,0.86816,Gazebo,Gazebo,0.788704,Piano,Piano,0.785319,Snooker,Snooker,0.623374,Cliff_Diving,Cliff_Diving,0.604883,Gray,Gray,0.584061,Prison,Prison,0.569846,Skyline,Skyline,0.513495,Apartment_Building,Apartment_Building,0.511071,Golden_Gate_Bridge,Golden_Gate_Bridge,0.506681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160402204331-06-00,20160402204331-06-00,1-0c2b8332f09b6117d0180d6713848cd1,20160402204331-06-00,1-0c2b8332f09b6117d0180d6713848cd1,2016,4,2,20,43,31,5801-01-01,NO_TAGS,,20160402204331-06-00.jpg,Black,Black,0.957079,Night_Sky,Night_Sky,0.952119,Piano,Piano,0.840987,Hang_Gliding,Hang_Gliding,0.826287,Refrigerator,Refrigerator,0.797301,Military_Plane,Military_Plane,0.779992,Gazebo,Gazebo,0.775704,Lamp,Lamp,0.759055,Cliff_Diving,Cliff_Diving,0.684116,Gray,Gray,0.614772,Prison,Prison,0.550277,Waterscape,Waterscape,0.525418,Sky_Scene,Sky_Scene,0.50362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160402204521-07-01,20160402204521-07-01,1-9ec30f153989b6a103153f8d7b80bfdf,20160402204521-07-01,1-9ec30f153989b6a103153f8d7b80bfdf,2016,4,2,20,45,21,6001-01-01,NO_TAGS,,20160402204521-07-01.jpg,Black,Black,0.962253,Night_Sky,Night_Sky,0.909769,Piano,Piano,0.88225,Refrigerator,Refrigerator,0.831592,Hang_Gliding,Hang_Gliding,0.830783,Musical_Instrument,Musical_Instrument,0.819423,Military_Plane,Military_Plane,0.729427,Gray,Gray,0.645647,Prison,Prison,0.6389,Gazebo,Gazebo,0.628439,Cliff_Diving,Cliff_Diving,0.622963,Home_Theater,Home_Theater,0.614726,Apartment_Building,Apartment_Building,0.614287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160402204612-08-00,20160402204612-08-00,1-5ac24c2995ea503a86dd1e453b7a76d8,20160402204612-08-00,1-5ac24c2995ea503a86dd1e453b7a76d8,2016,4,2,20,46,12,6001-01-01,NO_TAGS,,20160402204612-08-00.jpg,Black,Black,0.96295,Night_Sky,Night_Sky,0.947712,Musical_Instrument,Musical_Instrument,0.883719,Piano,Piano,0.876482,Refrigerator,Refrigerator,0.846237,Hang_Gliding,Hang_Gliding,0.838001,Lamp,Lamp,0.781222,Gazebo,Gazebo,0.708085,Bowling_Alley,Bowling_Alley,0.698096,Cliff_Diving,Cliff_Diving,0.67533,Gray,Gray,0.638063,Prison,Prison,0.624338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160402205255-09-00,20160402205255-09-00,1-2323b2e3826df89b2dfac369d97b6f52,20160402205255-09-00,1-2323b2e3826df89b2dfac369d97b6f52,2016,4,2,20,52,55,6201-01-01,NO_TAGS,,20160402205255-09-00.jpg,Night_Sky,Night_Sky,0.970858,Black,Black,0.960639,Piano,Piano,0.880831,Hang_Gliding,Hang_Gliding,0.855956,Refrigerator,Refrigerator,0.841933,Musical_Instrument,Musical_Instrument,0.785001,Military_Plane,Military_Plane,0.755503,Bowling_Alley,Bowling_Alley,0.689285,Gazebo,Gazebo,0.672753,Prison,Prison,0.629984,Gray,Gray,0.609042,Cliff_Diving,Cliff_Diving,0.581824,Overpass,Overpass,0.534093,Camping,Camping,0.507152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160402205530-10-00,20160402205530-10-00,1-8d7148b3929d72a0d4c7c77ef08fbb4d,20160402205530-10-00,1-8d7148b3929d72a0d4c7c77ef08fbb4d,2016,4,2,20,55,30,4601-01-01,person,0.989013,20160402205530-10-00.jpg,Yellow,Yellow,0.947959,Oven,Oven,0.90357,Riot,Riot,0.848987,Clothing_Store,Clothing_Store,0.843917,Mixed_Color,Mixed_Color,0.843144,Shoe_Store,Shoe_Store,0.842901,Stove,Stove,0.841145,Food_Court,Food_Court,0.82262,Dish_Washer,Dish_Washer,0.773903,Tamale,Tamale,0.771542,Beauty_Salon,Beauty_Salon,0.763486,Archery,Archery,0.696654,Pubbing,Pubbing,0.557019,Adventure_Sport,Adventure_Sport,0.554269,Industrial_Space,Industrial_Space,0.524487,Living_Room,Living_Room,0.513769,Store,Store,0.505601,,,,,,,,,,,,,,,,,,,,,,,,,,,
